range (Da)	average	count	peptides
1000:1010	0	0	NA
1005:1015	0	0	NA
1010:1020	0	0	NA
1015:1025	0	0	NA
1020:1030	0	0	NA
1025:1035	0	0	NA
1030:1040	0	0	NA
1035:1045	0	0	NA
1040:1050	0	0	NA
1045:1055	0	0	NA
1050:1060	0	0	NA
1055:1065	0	0	NA
1060:1070	0	0	NA
1065:1075	0	0	NA
1070:1080	1079.548	1	1.6
1075:1085	1079.548	1	1.6
1080:1090	0	0	NA
1085:1095	0	0	NA
1090:1100	0	0	NA
1095:1105	0	0	NA
1100:1110	0	0	NA
1105:1115	0	0	NA
1110:1120	0	0	NA
1115:1125	0	0	NA
1120:1130	0	0	NA
1125:1135	0	0	NA
1130:1140	0	0	NA
1135:1145	0	0	NA
1140:1150	0	0	NA
1145:1155	0	0	NA
1150:1160	0	0	NA
1155:1165	0	0	NA
1160:1170	0	0	NA
1165:1175	0	0	NA
1170:1180	0	0	NA
1175:1185	0	0	NA
1180:1190	0	0	NA
1185:1195	0	0	NA
1190:1200	0	0	NA
1195:1205	1201.544	1	2.2
1200:1210	1201.544	1	2.2
1205:1215	0	0	NA
1210:1220	0	0	NA
1215:1225	0	0	NA
1220:1230	0	0	NA
1225:1235	0	0	NA
1230:1240	0	0	NA
1235:1245	0	0	NA
1240:1250	0	0	NA
1245:1255	0	0	NA
1250:1260	0	0	NA
1255:1265	0	0	NA
1260:1270	0	0	NA
1265:1275	0	0	NA
1270:1280	1276.628	1	1.4
1275:1285	1276.628	1	1.4
1280:1290	0	0	NA
1285:1295	0	0	NA
1290:1300	0	0	NA
1295:1305	0	0	NA
1300:1310	0	0	NA
1305:1315	0	0	NA
1310:1320	0	0	NA
1315:1325	0	0	NA
1320:1330	0	0	NA
1325:1335	0	0	NA
1330:1340	0	0	NA
1335:1345	0	0	NA
1340:1350	0	0	NA
1345:1355	0	0	NA
1350:1360	0	0	NA
1355:1365	0	0	NA
1360:1370	0	0	NA
1365:1375	0	0	NA
1370:1380	0	0	NA
1375:1385	0	0	NA
1380:1390	0	0	NA
1385:1395	0	0	NA
1390:1400	0	0	NA
1395:1405	0	0	NA
1400:1410	1406.693	1	2.3
1405:1415	1406.693	1	2.3
1410:1420	0	0	NA
1415:1425	0	0	NA
1420:1430	0	0	NA
1425:1435	0	0	NA
1430:1440	0	0	NA
1435:1445	0	0	NA
1440:1450	1449.684	1	2.8
1445:1455	1449.684	1	2.8
1450:1460	0	0	NA
1455:1465	0	0	NA
1460:1470	1468.759	1	1.1
1465:1475	1468.759	1	1.1
1470:1480	0	0	NA
1475:1485	0	0	NA
1480:1490	0	0	NA
1485:1495	0	0	NA
1490:1500	0	0	NA